DATASET_COLORSTRIP
SEPARATOR,COMMA
DATASET_LABEL,taxa
COLOR,#000000
FIELD_LABELS,TAXA
DATA
BATS_SAMN07137064_METAG_BDCGNAHA,#008014,Bacteroidota
BATS_SAMN07137064_METAG_DMDDONGP,#eb8dff,Gamma-SAR86
BATS_SAMN07137064_METAG_EFIEENIK,#d3004b,Verrucomicrobiota
BATS_SAMN07137064_METAG_GCBKOPLF,#008014,Bacteroidota
BATS_SAMN07137064_METAG_HKFEGBEL,#008014,Bacteroidota
BATS_SAMN07137065_METAG_FEGJLPHI,#8b373f,Actinobacteriota
BATS_SAMN07137065_METAG_FGHAKEJN,#f2b707,Archaea-Nitrosopumilaceae
BATS_SAMN07137065_METAG_FHDKGKFO,#00956e,Cyano-Pro
BATS_SAMN07137066_METAG_OIGJKEJM,#f2b707,Archaea-Nitrosopumilaceae
BATS_SAMN07137067_METAG_PDCABCCM,#ac6863,Alpha-Pelagibacter
BATS_SAMN07137068_METAG_ALGCOOLA,#44c442,Chloroflexota
BATS_SAMN07137069_METAG_DGGBNFID,#8ab200,Archaea-Poseidoniia MGIIb
BATS_SAMN07137069_METAG_NOFBKALA,#f2b707,Archaea-Nitrosopumilaceae
BATS_SAMN07137069_METAG_NPIBKNEE,#44c442,Chloroflexota
BATS_SAMN07137070_METAG_APGOECFM,#8ab200,Archaea-Poseidoniia MGIIb
BATS_SAMN07137070_METAG_BGKDDPME,#f2b707,Archaea-Nitrosopumilaceae
BATS_SAMN07137070_METAG_BLPGIOAK,#8b373f,Actinobacteriota
BATS_SAMN07137070_METAG_FENLIEBD,#009083,Cyano-Syn
BATS_SAMN07137070_METAG_IHHCNMND,#ff4f60,Alpha-Other
BATS_SAMN07137070_METAG_LAFPDKBJ,#8ab200,Archaea-Poseidoniia MGIIb
BATS_SAMN07137071_METAG_BHOICPJG,#8ab200,Archaea-Poseidoniia MGIIb
BATS_SAMN07137071_METAG_JJLIDMBB,#ff4f60,Alpha-Other
BATS_SAMN07137071_METAG_LMCBPIBL,#8ab200,Archaea-Poseidoniia MGIIb
BATS_SAMN07137071_METAG_NHDEKCKD,#8b373f,Actinobacteriota
BATS_SAMN07137071_METAG_PONJEGOG,#009083,Cyano-Syn
BATS_SAMN07137072_METAG_DFJNNDLE,#44c442,Chloroflexota
BATS_SAMN07137072_METAG_DGLHFLDN,#8ab200,Archaea-Poseidoniia MGIIb
BATS_SAMN07137072_METAG_DMGBPHJB,#ff7be8,Gemmatimonadota
BATS_SAMN07137072_METAG_HNDGHLMM,#ff8bd9,Marinisomatota
BATS_SAMN07137072_METAG_MPFHPFLA,#f2b707,Archaea-Nitrosopumilaceae
BATS_SAMN07137072_METAG_POIDIKNE,#f2b707,Archaea-Nitrosopumilaceae
BATS_SAMN07137073_METAG_JMILPFGP,#008014,Bacteroidota
BATS_SAMN07137073_METAG_LPHCDAGP,#f2b707,Archaea-Nitrosopumilaceae
BATS_SAMN07137074_METAG_EHPJFMIB,#008014,Bacteroidota
BATS_SAMN07137074_METAG_HDEINNNP,#8ab200,Archaea-Poseidoniia MGIIb
BATS_SAMN07137074_METAG_IMGDKPKL,#eb8dff,Gamma-SAR86
BATS_SAMN07137074_METAG_IMLDABME,#f2b707,Archaea-Nitrosopumilaceae
BATS_SAMN07137074_METAG_NKPOJNIF,#8b373f,Actinobacteriota
BATS_SAMN07137074_METAG_OFNLGJME,#ff4f60,Alpha-Other
BATS_SAMN07137075_METAG_ACAOHBAE,#eb8dff,Gamma-SAR86
BATS_SAMN07137075_METAG_AKJHGNLI,#8b373f,Actinobacteriota
BATS_SAMN07137075_METAG_AOGNDBLA,#8b373f,Actinobacteriota
BATS_SAMN07137075_METAG_ELGOECLA,#ff4f60,Alpha-Other
BATS_SAMN07137075_METAG_LAJLEDEO,#8ab200,Archaea-Poseidoniia MGIIb
BATS_SAMN07137075_METAG_MCFJILNF,#8ab200,Archaea-Poseidoniia MGIIb
BATS_SAMN07137076_METAG_CAHCOHNA,#008014,Bacteroidota
BATS_SAMN07137076_METAG_CNALAKDP,#7431a2,Gamma-Other
BATS_SAMN07137076_METAG_LJNCHAMC,#ac6863,Alpha-Pelagibacter
BATS_SAMN07137077_METAG_EGGHALDA,#44c442,Chloroflexota
BATS_SAMN07137077_METAG_GMOHACNB,#8b373f,Actinobacteriota
BATS_SAMN07137078_METAG_BFEFAKNI,#44c442,Chloroflexota
BATS_SAMN07137078_METAG_CCKNAKNE,#f2b707,Archaea-Nitrosopumilaceae
BATS_SAMN07137078_METAG_HOACHCKF,#8ab200,Archaea-Poseidoniia MGIIb
BATS_SAMN07137078_METAG_PEIKFEOP,#44c442,Chloroflexota
BATS_SAMN07137080_METAG_GGGCCEFE,#ff8bd9,Marinisomatota
BATS_SAMN07137080_METAG_HGHEONPE,#ff4f60,Alpha-Other
BATS_SAMN07137080_METAG_HLJFGJKK,#44c442,Chloroflexota
BATS_SAMN07137080_METAG_JCLACDHD,#eb8dff,Gamma-SAR86
BATS_SAMN07137080_METAG_KPNAPJCN,#ff4f60,Alpha-Other
BATS_SAMN07137080_METAG_MCGMJANA,#44c442,Chloroflexota
BATS_SAMN07137080_METAG_MMHFAGGL,#00956e,Cyano-Pro
BATS_SAMN07137080_METAG_MMKIJFCG,#8b373f,Actinobacteriota
BATS_SAMN07137081_METAG_DBGAEJKF,#44c442,Chloroflexota
BATS_SAMN07137081_METAG_EDAPPPOL,#ff4f60,Alpha-Other
BATS_SAMN07137083_METAG_AJFMLBHD,#8b373f,Actinobacteriota
BATS_SAMN07137083_METAG_EDECNLOO,#f2b707,Archaea-Nitrosopumilaceae
BATS_SAMN07137084_METAG_GGABDFMM,#44c442,Chloroflexota
BATS_SAMN07137084_METAG_ILIDLFPI,#f2b707,Archaea-Nitrosopumilaceae
BATS_SAMN07137084_METAG_OHEDIJJF,#8b373f,Actinobacteriota
BATS_SAMN07137085_METAG_DFMHGLCG,#008014,Bacteroidota
BATS_SAMN07137085_METAG_FEEICCHN,#eb8dff,Gamma-SAR86
BATS_SAMN07137085_METAG_FODJCNAI,#eb8dff,Gamma-SAR86
BATS_SAMN07137085_METAG_ICGDMHCK,#ff4f60,Alpha-Other
BATS_SAMN07137085_METAG_ILCDCCGI,#ff8bd9,Marinisomatota
BATS_SAMN07137085_METAG_JKJAACCA,#eb8dff,Gamma-SAR86
BATS_SAMN07137085_METAG_JNAMCKLG,#ff4f60,Alpha-Other
BATS_SAMN07137085_METAG_LOAJIEAD,#eb8dff,Gamma-SAR86
BATS_SAMN07137085_METAG_NIGFOFIH,#eb8dff,Gamma-SAR86
BATS_SAMN07137085_METAG_PHPIHKPK,#eb8dff,Gamma-SAR86
BATS_SAMN07137086_METAG_CJKOCMME,#f2b707,Archaea-Nitrosopumilaceae
BATS_SAMN07137086_METAG_DBIIEOJM,#8b373f,Actinobacteriota
BATS_SAMN07137086_METAG_GNBHKPNE,#8b373f,Actinobacteriota
BATS_SAMN07137086_METAG_HAKOLABI,#7431a2,Gamma-Other
BATS_SAMN07137086_METAG_HGFNHELP,#ff4f60,Alpha-Other
BATS_SAMN07137086_METAG_HNJEHGAI,#ff8bd9,Marinisomatota
BATS_SAMN07137086_METAG_ILAJBOGK,#008014,Bacteroidota
