,Genus,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Subpathway1,Subpathway2,Subpathway3,Subpathway4,Subpathway5,Subpathway6,MaxCompletion,Group,Type
1,01-FULL-49-22b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patescibacteria,MAG
2,1-14-0-10-32-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea-Other,MAG
3,1-14-0-10-34-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea-Other,MAG
4,1-14-0-65-65-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alpha-Other,MAG
5,2-12-FULL-43-28,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Gamma-Other,MAG
6,34-180-T64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidota,MAG
7,50-400-T64,0,0,1,0,1,0,0,1,0,0.25,0,0.5,0.25,0,0.333333333333333,0.5,Gamma-Other,MAG
8,59-46-T64,0,0,1,0,0,1,0,1,0,0.5,0.25,0.5,0.5,0,0.333333333333333,0.5,Alpha-Rhodobacter,MAG
9,AAA044-D11,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0.5,Actinobacteriota,MAG
10,AAA071-K20,0,1,0,0,0,1,0,0,0,0.25,0.25,0.5,0.25,0,0,0.5,Bacteria-Other,MAG
11,AAA164-E04,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Verrucomicrobiota,MAG
12,AAA240-E13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alpha-Pelagibacter,MAG
13,AAA300-D14,0,0,1,0,1,0,0,1,0,0.25,0,0.5,0.25,0,0.333333333333333,0.5,Gamma-Other,MAG
14,AAA536-G10,0,1,1,0,1,0,0,1,0,0.25,0,0.75,0.25,0,0.333333333333333,0.75,Alpha-Other,MAG
15,AB-629-J13,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Marinisomatota,MAG
16,AEGEAN-183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gamma-SAR86,MAG
17,AG-337-I02,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0.5,Alpha-Other,MAG
18,AG-339-G14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gamma-SAR86,MAG
19,AG-343-D04,0,1,0,0,0,1,0,0,0,0.25,0.25,0.5,0.25,0,0,0.5,Bacteria-Other,MAG
20,AG-363-A16,1,0,0,0,0,1,0,0,1,0.5,0.75,0.25,0.5,0.666666666666667,0.333333333333333,0.75,Cyano-Other,MAG
21,AG-363-B04,1,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.333333333333333,0,0.333333333333333,Cyano-Other,MAG
22,AG-363-J23,1,0,1,0,0,1,0,0,1,0.5,0.75,0.25,0.75,0.666666666666667,0.666666666666667,0.75,Cyano-Other,MAG
23,AG-363-K07,1,0,1,0,0,1,0,0,1,0.5,0.75,0.25,0.75,0.666666666666667,0.666666666666667,0.75,Cyano-Other,MAG
24,AG-363-N16,1,0,1,0,1,1,0,0,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,0.75,Cyano-Other,MAG
25,AG-363-N20,1,0,0,0,1,0,0,0,1,0.25,0.5,0.25,0.25,0.666666666666667,0.333333333333333,0.666666666666667,Cyano-Other,MAG
26,AG-363-O06,0,0,1,0,0,1,0,0,0,0.25,0.25,0.25,0.5,0,0.333333333333333,0.5,Cyano-Other,MAG
27,AG-363-O15,0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.75,0.333333333333333,0.666666666666667,0.75,Cyano-Other,MAG
28,AG-363-P08,1,0,1,0,0,1,0,0,1,0.5,0.75,0.25,0.75,0.666666666666667,0.666666666666667,0.75,Cyano-Other,MAG
29,AG-390-O18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gamma-SAR86,MAG
30,AG-402-N21,1,0,1,0,1,1,0,0,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,0.75,Cyano-Other,MAG
