"","Group","n()"
"1","Acidobacteriota",22
"2","Actinobacteriota",448
"3","Alpha-Other",578
"4","Alpha-Pelagibacter",1051
"5","Alpha-Puniceispirilla",39
"6","Alpha-Rhodobacter",71
"7","Alpha-Rhodobacter-LowGC",39
"8","Archaea-Halobacteria",19
"9","Archaea-Nitrosopumilaceae",6
"10","Archaea-Other",108
"11","Archaea-Poseidoniia MGIIa",1
"12","Archaea-Poseidoniia MGIIb",3
"13","Bacteria-Other",118
"14","Bacteroidota",1092
"15","Chloroflexota",374
"16","Cyano-Other",1
"17","Dadabacteria",28
"18","Firmicutes",112
"19","Gamma-Other",233
"20","Gamma-SAR86",421
"21","Gamma-SAR92",1
"22","Gemmatimonadota",23
"23","Marinisomatota",423
"24","Other",76
"25","Patescibacteria",19
"26","Planctomycetota",5
"27","SAR324",110
"28","Verrucomicrobiota",8
