"","Group","n()"
"1","Acidobacteriota",65
"2","Actinobacteriota",924
"3","Alpha-Other",1949
"4","Alpha-Pelagibacter",1059
"5","Alpha-Puniceispirilla",64
"6","Alpha-Rhodobacter",694
"7","Alpha-Rhodobacter-LowGC",197
"8","Archaea-Halobacteria",74
"9","Archaea-Nitrosopumilaceae",260
"10","Archaea-Other",298
"11","Archaea-Poseidoniia MGIIa",307
"12","Archaea-Poseidoniia MGIIb",536
"13","Bacteria-Other",347
"14","Bacteroidota",2432
"15","Chloroflexota",716
"16","Cyano-Other",53
"17","Cyano-Pro",428
"18","Cyano-Syn",96
"19","Dadabacteria",89
"20","Firmicutes",164
"21","Gamma-Alteromonas",115
"22","Gamma-Other",2976
"23","Gamma-SAR86",433
"24","Gamma-SAR92",104
"25","Gemmatimonadota",86
"26","Marinisomatota",702
"27","Other",76
"28","Patescibacteria",22
"29","Planctomycetota",244
"30","SAR324",172
"31","Verrucomicrobiota",377
