DATASET_COLORSTRIP
SEPARATOR,COMMA
DATASET_LABEL,Lifestyle
COLOR,#000000
FIELD_LABELS,Slifestyle
DATA
BATS_SAMN07137064_METAG_BDCGNAHA,#5A8093,Semiauxotroph
BATS_SAMN07137064_METAG_DMDDONGP,#415521,Auxotroph
BATS_SAMN07137064_METAG_EFIEENIK,#5A8093,Semiauxotroph
BATS_SAMN07137064_METAG_GCBKOPLF,#5A8093,Semiauxotroph
BATS_SAMN07137064_METAG_HKFEGBEL,#415521,Auxotroph
BATS_SAMN07137065_METAG_FEGJLPHI,#415521,Auxotroph
BATS_SAMN07137065_METAG_FGHAKEJN,#5A8093,Semiauxotroph
BATS_SAMN07137065_METAG_FHDKGKFO,#5A8093,Semiauxotroph
BATS_SAMN07137066_METAG_OIGJKEJM,#5A8093,Semiauxotroph
BATS_SAMN07137067_METAG_PDCABCCM,#415521,Auxotroph
BATS_SAMN07137068_METAG_ALGCOOLA,#415521,Auxotroph
BATS_SAMN07137069_METAG_DGGBNFID,#5A8093,Semiauxotroph
BATS_SAMN07137069_METAG_NOFBKALA,#5A8093,Semiauxotroph
BATS_SAMN07137069_METAG_NPIBKNEE,#415521,Auxotroph
BATS_SAMN07137070_METAG_APGOECFM,#5A8093,Semiauxotroph
BATS_SAMN07137070_METAG_BGKDDPME,#415521,Auxotroph
BATS_SAMN07137070_METAG_BLPGIOAK,#415521,Auxotroph
BATS_SAMN07137070_METAG_FENLIEBD,#5A8093,Semiauxotroph
BATS_SAMN07137070_METAG_IHHCNMND,#415521,Auxotroph
BATS_SAMN07137070_METAG_LAFPDKBJ,#5A8093,Semiauxotroph
BATS_SAMN07137071_METAG_BHOICPJG,#5A8093,Semiauxotroph
BATS_SAMN07137071_METAG_JJLIDMBB,#415521,Auxotroph
BATS_SAMN07137071_METAG_LMCBPIBL,#5A8093,Semiauxotroph
BATS_SAMN07137071_METAG_NHDEKCKD,#415521,Auxotroph
BATS_SAMN07137071_METAG_PONJEGOG,#5A8093,Semiauxotroph
BATS_SAMN07137072_METAG_DFJNNDLE,#415521,Auxotroph
BATS_SAMN07137072_METAG_DGLHFLDN,#5A8093,Semiauxotroph
BATS_SAMN07137072_METAG_DMGBPHJB,#5A8093,Semiauxotroph
BATS_SAMN07137072_METAG_HNDGHLMM,#415521,Auxotroph
BATS_SAMN07137072_METAG_MPFHPFLA,#5A8093,Semiauxotroph
BATS_SAMN07137072_METAG_POIDIKNE,#5A8093,Semiauxotroph
BATS_SAMN07137073_METAG_JMILPFGP,#415521,Auxotroph
BATS_SAMN07137073_METAG_LPHCDAGP,#5A8093,Semiauxotroph
BATS_SAMN07137074_METAG_EHPJFMIB,#415521,Auxotroph
BATS_SAMN07137074_METAG_HDEINNNP,#5A8093,Semiauxotroph
BATS_SAMN07137074_METAG_IMGDKPKL,#415521,Auxotroph
BATS_SAMN07137074_METAG_IMLDABME,#5A8093,Semiauxotroph
BATS_SAMN07137074_METAG_NKPOJNIF,#415521,Auxotroph
BATS_SAMN07137074_METAG_OFNLGJME,#415521,Auxotroph
BATS_SAMN07137075_METAG_ACAOHBAE,#415521,Auxotroph
BATS_SAMN07137075_METAG_AKJHGNLI,#415521,Auxotroph
BATS_SAMN07137075_METAG_AOGNDBLA,#415521,Auxotroph
BATS_SAMN07137075_METAG_ELGOECLA,#415521,Auxotroph
BATS_SAMN07137075_METAG_LAJLEDEO,#5A8093,Semiauxotroph
BATS_SAMN07137075_METAG_MCFJILNF,#5A8093,Semiauxotroph
BATS_SAMN07137076_METAG_CAHCOHNA,#415521,Auxotroph
BATS_SAMN07137076_METAG_CNALAKDP,#5A8093,Semiauxotroph
BATS_SAMN07137076_METAG_LJNCHAMC,#415521,Auxotroph
BATS_SAMN07137077_METAG_EGGHALDA,#415521,Auxotroph
BATS_SAMN07137077_METAG_GMOHACNB,#415521,Auxotroph
BATS_SAMN07137078_METAG_BFEFAKNI,#415521,Auxotroph
BATS_SAMN07137078_METAG_CCKNAKNE,#5A8093,Semiauxotroph
BATS_SAMN07137078_METAG_HOACHCKF,#5A8093,Semiauxotroph
BATS_SAMN07137078_METAG_PEIKFEOP,#5A8093,Semiauxotroph
BATS_SAMN07137080_METAG_GGGCCEFE,#5A8093,Semiauxotroph
BATS_SAMN07137080_METAG_HGHEONPE,#415521,Auxotroph
BATS_SAMN07137080_METAG_HLJFGJKK,#415521,Auxotroph
BATS_SAMN07137080_METAG_JCLACDHD,#415521,Auxotroph
BATS_SAMN07137080_METAG_KPNAPJCN,#415521,Auxotroph
BATS_SAMN07137080_METAG_MCGMJANA,#415521,Auxotroph
BATS_SAMN07137080_METAG_MMHFAGGL,#5A8093,Semiauxotroph
BATS_SAMN07137080_METAG_MMKIJFCG,#415521,Auxotroph
BATS_SAMN07137081_METAG_DBGAEJKF,#5A8093,Semiauxotroph
BATS_SAMN07137081_METAG_EDAPPPOL,#415521,Auxotroph
BATS_SAMN07137083_METAG_AJFMLBHD,#415521,Auxotroph
BATS_SAMN07137083_METAG_EDECNLOO,#5A8093,Semiauxotroph
BATS_SAMN07137084_METAG_GGABDFMM,#415521,Auxotroph
BATS_SAMN07137084_METAG_ILIDLFPI,#5A8093,Semiauxotroph
BATS_SAMN07137084_METAG_OHEDIJJF,#415521,Auxotroph
BATS_SAMN07137085_METAG_DFMHGLCG,#415521,Auxotroph
BATS_SAMN07137085_METAG_FEEICCHN,#415521,Auxotroph
BATS_SAMN07137085_METAG_FODJCNAI,#415521,Auxotroph
BATS_SAMN07137085_METAG_ICGDMHCK,#5A8093,Semiauxotroph
BATS_SAMN07137085_METAG_ILCDCCGI,#415521,Auxotroph
BATS_SAMN07137085_METAG_JKJAACCA,#415521,Auxotroph
BATS_SAMN07137085_METAG_JNAMCKLG,#5A8093,Semiauxotroph
BATS_SAMN07137085_METAG_LOAJIEAD,#415521,Auxotroph
BATS_SAMN07137085_METAG_NIGFOFIH,#415521,Auxotroph
BATS_SAMN07137085_METAG_PHPIHKPK,#415521,Auxotroph
BATS_SAMN07137086_METAG_CJKOCMME,#5A8093,Semiauxotroph
BATS_SAMN07137086_METAG_DBIIEOJM,#415521,Auxotroph
BATS_SAMN07137086_METAG_GNBHKPNE,#5A8093,Semiauxotroph
BATS_SAMN07137086_METAG_HAKOLABI,#5A8093,Semiauxotroph
BATS_SAMN07137086_METAG_HGFNHELP,#415521,Auxotroph
BATS_SAMN07137086_METAG_HNJEHGAI,#5A8093,Semiauxotroph
BATS_SAMN07137086_METAG_ILAJBOGK,#415521,Auxotroph
BATS_SAMN07137086_METAG_MOCNKGHL,#5A8093,Semiauxotroph
BATS_SAMN07137087_METAG_BBPFAGFK,#5A8093,Semiauxotroph
BATS_SAMN07137087_METAG_BPFGOMMN,#5A8093,Semiauxotroph
BATS_SAMN07137087_METAG_CDOPEKMJ,#5A8093,Semiauxotroph
BATS_SAMN07137087_METAG_GICAJIFE,#415521,Auxotroph
BATS_SAMN07137087_METAG_MJFPPJJK,#5A8093,Semiauxotroph
BATS_SAMN07137088_METAG_AMNAKDDM,#5A8093,Semiauxotroph
BATS_SAMN07137088_METAG_DMCMKNOK,#415521,Auxotroph
BATS_SAMN07137088_METAG_FCCPHKBE,#415521,Auxotroph
BATS_SAMN07137088_METAG_FPPDLBLC,#415521,Auxotroph
BATS_SAMN07137088_METAG_GJOHBOPJ,#415521,Auxotroph
BATS_SAMN07137088_METAG_LCMCGCNF,#5A8093,Semiauxotroph
BATS_SAMN07137088_METAG_MJOOHEFJ,#415521,Auxotroph
BATS_SAMN07137089_METAG_FDODAMEC,#415521,Auxotroph
BATS_SAMN07137089_METAG_INMJCONJ,#5A8093,Semiauxotroph
BATS_SAMN07137090_METAG_BKFFIOMG,#5A8093,Semiauxotroph
BATS_SAMN07137090_METAG_CKHLPNPA,#5A8093,Semiauxotroph
BATS_SAMN07137090_METAG_IBJEELNE,#415521,Auxotroph
BATS_SAMN07137090_METAG_KNFGANLC,#5A8093,Semiauxotroph
BATS_SAMN07137090_METAG_KONAJOAK,#5A8093,Semiauxotroph
BATS_SAMN07137090_METAG_OEMAMEFP,#415521,Auxotroph
BATS_SAMN07137091_METAG_BBLHOBIK,#5A8093,Semiauxotroph
BATS_SAMN07137091_METAG_EDBAJBAA,#5A8093,Semiauxotroph
BATS_SAMN07137091_METAG_LHOEBINA,#5A8093,Semiauxotroph
BATS_SAMN07137091_METAG_OMNOJDCO,#5A8093,Semiauxotroph
BATS_SAMN07137092_METAG_CHCDBIHE,#5A8093,Semiauxotroph
BATS_SAMN07137092_METAG_HLMFKHHG,#5A8093,Semiauxotroph
BATS_SAMN07137092_METAG_KBGJALEJ,#5A8093,Semiauxotroph
BATS_SAMN07137092_METAG_LFPPLGME,#5A8093,Semiauxotroph
BATS_SAMN07137092_METAG_MEKLHPJB,#5A8093,Semiauxotroph
BATS_SAMN07137092_METAG_MLACAOKI,#5A8093,Semiauxotroph
BATS_SAMN07137093_METAG_CAPMPJHD,#415521,Auxotroph
BATS_SAMN07137094_METAG_GBBMEJPB,#5A8093,Semiauxotroph
BATS_SAMN07137094_METAG_OKFBDJMM,#415521,Auxotroph
BATS_SAMN07137095_METAG_DFBOAJHC,#415521,Auxotroph
BATS_SAMN07137095_METAG_EHLADIOI,#5A8093,Semiauxotroph
BATS_SAMN07137095_METAG_FIDBPDOB,#5A8093,Semiauxotroph
BATS_SAMN07137095_METAG_ODCGBIFA,#5A8093,Semiauxotroph
BATS_SAMN07137096_METAG_CDKGNHGG,#5A8093,Semiauxotroph
BATS_SAMN07137096_METAG_CFFCMBMP,#5A8093,Semiauxotroph
BATS_SAMN07137096_METAG_DDLPOOEM,#5A8093,Semiauxotroph
BATS_SAMN07137096_METAG_ELCMKIIM,#5A8093,Semiauxotroph
BATS_SAMN07137096_METAG_GCLCDGIG,#415521,Auxotroph
BATS_SAMN07137096_METAG_GOOOMDDD,#415521,Auxotroph
BATS_SAMN07137096_METAG_ODEMFOIG,#5A8093,Semiauxotroph
BATS_SAMN07137097_METAG_HPCMMKML,#415521,Auxotroph
BATS_SAMN07137098_METAG_EFAPGPKJ,#5A8093,Semiauxotroph
BATS_SAMN07137098_METAG_FPGMPLOG,#5A8093,Semiauxotroph
BATS_SAMN07137098_METAG_KDEGBFLM,#415521,Auxotroph
BATS_SAMN07137098_METAG_KDLBKOGG,#5A8093,Semiauxotroph
BATS_SAMN07137098_METAG_KGKGNECI,#415521,Auxotroph
BATS_SAMN07137098_METAG_LEHDILHI,#415521,Auxotroph
BATS_SAMN07137098_METAG_NJOKCKBL,#415521,Auxotroph
BATS_SAMN07137098_METAG_OJBLOMEM,#5A8093,Semiauxotroph
BATS_SAMN07137098_METAG_OMJMCNAH,#5A8093,Semiauxotroph
BATS_SAMN07137099_METAG_DELGIJPN,#5A8093,Semiauxotroph
BATS_SAMN07137099_METAG_FAEABNAM,#415521,Auxotroph
BATS_SAMN07137099_METAG_JIHFNIGF,#5A8093,Semiauxotroph
BATS_SAMN07137099_METAG_KBCHOIPA,#5A8093,Semiauxotroph
BATS_SAMN07137101_METAG_BBEIIPCM,#415521,Auxotroph
BATS_SAMN07137101_METAG_GJJNLGPH,#5A8093,Semiauxotroph
BATS_SAMN07137101_METAG_KGHFBFFI,#415521,Auxotroph
BATS_SAMN07137101_METAG_NKPGGILM,#415521,Auxotroph
BATS_SAMN07137102_METAG_COMJKHCH,#5A8093,Semiauxotroph
