"","Group","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Subpathway1","Subpathway2","Subpathway3","Subpathway4","Subpathway5","Subpathway6","Subpathway7","Subpathway8","MaxCompletion","Completion","Step1_All_by_Group_Total","Step2_All_by_Group_Total","Step3_All_by_Group_Total","Step4_All_by_Group_Total","Step5_All_by_Group_Total","Step6_All_by_Group_Total","Step7_All_by_Group_Total","Step8_All_by_Group_Total","Step9_All_by_Group_Total","Subpathway1_All_by_Group_Total","Subpathway2_All_by_Group_Total","Subpathway3_All_by_Group_Total","Subpathway4_All_by_Group_Total","Subpathway5_All_by_Group_Total","Subpathway6_All_by_Group_Total","Subpathway7_All_by_Group_Total","Subpathway8_All_by_Group_Total"
"1","Acidobacteriota",2,10,4,2,0,14,0,2,12,5,7.5,6.5,5,9,7.5,4.666666662,5.33333333,10.5,1265.27,0.19047619047619,0.952380952380952,0.380952380952381,0.19047619047619,0,1.33333333333333,0,0.19047619047619,1.14285714285714,0.476190476190476,0.714285714285714,0.619047619047619,0.476190476190476,0.857142857142857,0.714285714285714,0.444444444,0.507936507619048
"2","Actinobacteriota",32,156,29,32,52,89,0,21,149,43.5,75.5,79.5,47.75,111.5,79.75,60.333333301,59.333333303,118.5,14618.13,0.270042194092827,1.31645569620253,0.244725738396624,0.270042194092827,0.438818565400844,0.751054852320675,0,0.177215189873418,1.25738396624473,0.367088607594937,0.637130801687764,0.670886075949367,0.40295358649789,0.940928270042194,0.672995780590717,0.509142053172996,0.500703234624473
"3","Alpha-Other",21,245,14,21,140,176,0,186,90,101,77,186.75,129,162.75,105,36.999999964,34.666666636,188.25,22295.42,0.111553784860558,1.30146082337317,0.0743691899070385,0.111553784860558,0.743691899070385,0.934926958831341,0,0.98804780876494,0.47808764940239,0.536520584329349,0.409030544488712,0.99203187250996,0.685258964143426,0.864541832669323,0.557768924302789,0.196547144563081,0.184152279606906
"4","Alpha-Puniceispirilla",0,3,0,0,3,0,0,3,0,0.75,0,2.25,1.5,1.5,0.75,0,0,2.25,284.74,0,1.33333333333333,0,0,1.33333333333333,0,0,1.33333333333333,0,0.333333333333333,0,1,0.666666666666667,0.666666666666667,0.333333333333333,0,0
"5","Alpha-Rhodobacter",56,4,62,56,3,42,0,31,8,46.25,40.5,20,34.5,14.25,28.75,21.333333316,23.333333317,49.5,5847.85,1.13131313131313,0.0808080808080808,1.25252525252525,1.13131313131313,0.0606060606060606,0.848484848484849,0,0.626262626262626,0.161616161616162,0.934343434343434,0.818181818181818,0.404040404040404,0.696969696969697,0.287878787878788,0.580808080808081,0.430976430626263,0.471380471050505
"6","Alpha-Rhodobacter-LowGC",51,0,51,51,0,0,0,51,0,38.25,25.5,12.75,25.5,0,12.75,16.999999983,16.999999983,38.25,4616.97,1.33333333333333,0,1.33333333333333,1.33333333333333,0,0,0,1.33333333333333,0,1,0.666666666666667,0.333333333333333,0.666666666666667,0,0.333333333333333,0.444444444,0.444444444
"7","Archaea-Nitrosopumilaceae",0,0,127,0,0,127,0,0,127,31.75,63.5,31.75,63.5,63.5,95.25,42.333333291,84.666666709,95.25,10972.25,0,0,1.33333333333333,0,0,1.33333333333333,0,0,1.33333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,1,0.444444444,0.888888889333333
"8","Archaea-Other",0,0,7,0,0,7,0,0,7,1.75,3.5,1.75,3.5,3.5,5.25,2.333333331,4.666666669,5.25,621.15,0,0,1.33333333333333,0,0,1.33333333333333,0,0,1.33333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,1,0.444444444,0.888888889333333
"9","Archaea-Poseidoniia MGIIa",3,55,0,3,55,0,0,55,0,15.25,1.5,41.25,27.5,27.5,13.75,0.999999999,0,41.25,4517.08,0.0727272727272727,1.33333333333333,0,0.0727272727272727,1.33333333333333,0,0,1.33333333333333,0,0.36969696969697,0.0363636363636364,1,0.666666666666667,0.666666666666667,0.333333333333333,0.0242424242181818,0
"10","Archaea-Poseidoniia MGIIb",2,104,0,2,105,0,0,105,0,27.25,1,78.5,52.5,52.25,26.25,0.666666666,0,78.75,8587.57,0.0253968253968254,1.32063492063492,0,0.0253968253968254,1.33333333333333,0,0,1.33333333333333,0,0.346031746031746,0.0126984126984127,0.996825396825397,0.666666666666667,0.663492063492063,0.333333333333333,0.00846560845714286,0
"11","Bacteria-Other",13,63,15,13,27,64,0,40,64,32.5,38.5,48.5,36.5,54.5,42.5,25.666666646,26.333333319,63,7637.22,0.206349206349206,1,0.238095238095238,0.206349206349206,0.428571428571429,1.01587301587302,0,0.634920634920635,1.01587301587302,0.515873015873016,0.611111111111111,0.76984126984127,0.579365079365079,0.865079365079365,0.674603174603175,0.407407407079365,0.417989417761905
