,Step1,Step2,Step3,Subpathway1,Subpathway2,MaxCompletion,Group,Completion,Type
MARD_SAMN10141426_REFG_MMP10141426,1,0,0,0.5,0,0.5,Actinobacteriota,99.46,RefGenome
MARD_SAMEA2272178_REFG_MMP2272178,1,0,1,0.5,1,1,Actinobacteriota,99.57,RefGenome
MARD_SAMD00040648_REFG_MMP00040648,1,0,0,0.5,0,0.5,Actinobacteriota,99.76,RefGenome
MARD_SAMN04488110_REFG_MMP04488110,0,0,0,0,0,0,Actinobacteriota,100,RefGenome
MARD_SAMN04571751_REFG_MMP04571751,1,0,1,0.5,1,1,Actinobacteriota,99.56,RefGenome
MARD_SAMN03999393_REFG_MMP03999393,1,0,0,0.5,0,0.5,Actinobacteriota,99.64,RefGenome
MARD_SAMN04026265_REFG_MMP04026265,1,0,1,0.5,1,1,Actinobacteriota,98.78,RefGenome
MARD_SAMN09475466_REFG_MMP09475466,0,0,0,0,0,0,Actinobacteriota,99.28,RefGenome
MARD_SAMEA4707921_REFG_MMP4707921,0,0,0,0,0,0,Cyano-Syn,99.28,RefGenome
MARD_SAMN07811432_REFG_MMP07811432,0,0,0,0,0,0,Actinobacteriota,99.22,RefGenome
MARD_SAMN10373778_REFG_MMP10373778,1,0,1,0.5,1,1,Actinobacteriota,99.51,RefGenome
MARD_SAMN03999384_REFG_MMP03999384,1,0,0,0.5,0,0.5,Actinobacteriota,99.24,RefGenome
MARD_SAMD00042842_REFG_MMP00042842,0,0,0,0,0,0,Actinobacteriota,99.33,RefGenome
MARD_SAMN09508721_REFG_MMP09508721,1,1,1,1,1,1,Actinobacteriota,99.42,RefGenome
MARD_SAMN03729478_REFG_MMP03729478,1,0,1,0.5,1,1,Actinobacteriota,99.29,RefGenome
MARD_SAMD00023549_REFG_MMP00023549,1,0,0,0.5,0,0.5,Actinobacteriota,99.49,RefGenome
MARD_SAMN10141419_REFG_MMP10141419,0,0,0,0,0,0,Actinobacteriota,96.8,RefGenome
MARD_SAMD00129508_REFG_MMP00129508,1,0,0,0.5,0,0.5,Actinobacteriota,99.34,RefGenome
MARD_SAMN09508719_REFG_MMP09508719,1,1,1,1,1,1,Actinobacteriota,99.42,RefGenome
MARD_SAMN09786811_REFG_MMP09786811,1,0,0,0.5,0,0.5,Actinobacteriota,99.64,RefGenome
MARD_SAMN03999371_REFG_MMP03999371,1,0,1,0.5,1,1,Actinobacteriota,99.64,RefGenome
MARD_SAMN10276034_REFG_MMP10276034,1,0,0,0.5,0,0.5,Actinobacteriota,95.76,RefGenome
TARA_SAMEA2621033_METAG_KKHCHOLN,1,0,0,0.5,0,0.5,Bacteria-Other,94.98,MAG
MARD_SAMN07811444_REFG_MMP07811444,0,0,0,0,0,0,Actinobacteriota,99.58,RefGenome
MARD_SAMN04488481_REFG_MMP04488481,1,0,1,0.5,1,1,Actinobacteriota,99.38,RefGenome
MALA_SAMN05422113_METAG_MLBGOJNK,0,0,0,0,0,0,Bacteria-Other,95.99,MAG
TARA_SAMEA2623477_METAG_GIEMLDKG,0,0,0,0,0,0,Bacteria-Other,88.44,MAG
MARD_SAMN04487806_REFG_MMP04487806,0,0,1,0,1,1,Actinobacteriota,99.25,RefGenome
MALA_SAMN05421555_METAG_BIOJCFAG,0,0,0,0,0,0,Bacteria-Other,96.81,MAG
TARA_SAMEA2623741_METAG_DLKGCKBM,0,0,0,0,0,0,Bacteria-Other,96.81,MAG
TARA_SAMEA2623601_METAG_PIAMPJPB,0,0,0,0,0,0,Bacteria-Other,96.81,MAG
MARD_SAMN04026262_REFG_MMP04026262,1,0,1,0.5,1,1,Actinobacteriota,99.42,RefGenome
MARD_SAMN05216266_REFG_MMP05216266,1,1,1,1,1,1,Actinobacteriota,99.28,RefGenome
MARD_SAMN05421803_REFG_MMP05421803,0,0,0,0,0,0,Actinobacteriota,99.64,RefGenome
MALA_SAMN05422175_METAG_BBPNIOOI,0,0,0,0,0,0,Bacteria-Other,96.81,MAG
MALA_SAMN05422140_METAG_ICPPLJGM,0,0,0,0,0,0,Bacteria-Other,86.78,MAG
MALA_SAMN05422137_METAG_HLLJDLBE,0,0,0,0,0,0,Bacteria-Other,96.81,MAG
TARA_SAMEA2622119_METAG_JEJNGPMI,1,0,1,0.5,1,1,Alpha-Other,88.64,MAG
TARA_SAMN05326645_METAG_PSE00016,1,0,1,0.5,1,1,Alpha-Other,99.26,MAG
MARD_SAMN04026261_REFG_MMP04026261,1,0,1,0.5,1,1,Actinobacteriota,99.24,RefGenome
MARD_SAMD00017647_REFG_MMP00017647,0,0,0,0,0,0,Actinobacteriota,99,RefGenome
MARD_SAMN04495211_REFG_MMP04495211,1,0,1,0.5,1,1,Actinobacteriota,99.62,RefGenome
MARD_SAMN09786826_REFG_MMP09786826,1,0,1,0.5,1,1,Actinobacteriota,99.64,RefGenome
MARD_SAMN05216284_REFG_MMP05216284,0,0,0,0,0,0,Actinobacteriota,99.28,RefGenome
MARD_SAMN03729480_REFG_MMP03729480,1,0,0,0.5,0,0.5,Actinobacteriota,99.64,RefGenome
