V1	V2	V3	V4	V5	V6	V7	V8
1	*	TARA_SAMEA2621221_METAG-scaffold_38540-	K00003	278.03	305.7	2.3e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621221_METAG_ODHGGDHM
2	*	TARA_SAMEA2622695_METAG-scaffold_104-	K00003	278.03	295.8	2.4e-84	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622695_METAG_GOFCEJHK
3	*	TARA_SAMEA2622737_METAG-scaffold_16018-	K00003	278.03	295.8	2.4e-84	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622737_METAG_NABNIMPL
4	*	TARA_SAMEA2622737_METAG-scaffold_7257-	K00003	278.03	307.6	6.3e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622737_METAG_GCADMJEC
5	*	TARA_SAMEA2621101_METAG-scaffold_13924-	K00003	278.03	332	2.6e-95	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621101_METAG_NHAKJFJG
6	*	TARA_SAMEA2621101_METAG-scaffold_5024-	K00003	278.03	321.8	3.2e-92	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621101_METAG_CANPAIAC
7	*	TARA_SAMEA2622800_METAG-scaffold_89-	K00003	278.03	295.8	2.4e-84	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622800_METAG_NHOAJJGP
8	*	TARA_SAMEA2622800_METAG-scaffold_28673-	K00003	278.03	304.7	4.8e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622800_METAG_LMOLOIBJ
9	*	TARA_SAMEA2621278_METAG-scaffold_296-	K00003	278.03	305.7	2.3e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621278_METAG_BMGJHFGO
10	*	TARA_SAMEA2622677_METAG-scaffold_1591-	K00003	278.03	309.9	1.3e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622677_METAG_DENDMNGP
11	*	TARA_SAMEA2622677_METAG-scaffold_83560-	K00003	278.03	390.6	5.1e-113	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622677_METAG_MLHEKPDE
12	*	TARA_SAMEA2621020_METAG-scaffold_1800-	K00003	278.03	305.7	2.3e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621020_METAG_JALFNGDI
13	*	TARA_SAMEA2621076_METAG-scaffold_1711-	K00003	278.03	306.2	1.6e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621076_METAG_LJFJNBCF
14	*	TARA_SAMEA2621099_METAG-scaffold_10723-	K00003	278.03	311.2	5.2e-89	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621099_METAG_ACFBABOB
15	*	TARA_SAMEA2621099_METAG-scaffold_47048-	K00003	278.03	286.2	1.9e-81	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621099_METAG_ACFBABOB
16	*	TARA_SAMEA2621099_METAG-scaffold_10722-	K00003	278.03	321.8	3.2e-92	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621099_METAG_JAGBKHFC
17	*	TARA_SAMEA2621099_METAG-scaffold_1098-	K00003	278.03	308.1	4.4e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621099_METAG_LNGKDKOO
18	*	TARA_SAMEA2621099_METAG-scaffold_2561-	K00003	278.03	309.2	2e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2621099_METAG_KAJBAIPL
19	*	TARA_SAMEA2622822_METAG-scaffold_32720-	K00003	278.03	301.7	3.8e-86	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622822_METAG_POBFCGGI
20	*	TARA_SAMEA2622822_METAG-scaffold_1867-	K00003	278.03	307.2	8.5e-88	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622822_METAG_FPFDCNHD
21	*	TARA_SAMEA2622822_METAG-scaffold_11955-	K00003	278.03	305.9	2.1e-87	homoserine dehydrogenase [EC:1.1.1.3]	TARA_SAMEA2622822_METAG_AEGEMICO
