"","Group","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Subpathway1","Subpathway2","Subpathway3","Subpathway4","Subpathway5","Subpathway6","Subpathway7","Subpathway8","MaxCompletion","Completion","Step1_All_by_Group_Total","Step2_All_by_Group_Total","Step3_All_by_Group_Total","Step4_All_by_Group_Total","Step5_All_by_Group_Total","Step6_All_by_Group_Total","Step7_All_by_Group_Total","Step8_All_by_Group_Total","Step9_All_by_Group_Total","Subpathway1_All_by_Group_Total","Subpathway2_All_by_Group_Total","Subpathway3_All_by_Group_Total","Subpathway4_All_by_Group_Total","Subpathway5_All_by_Group_Total","Subpathway6_All_by_Group_Total","Subpathway7_All_by_Group_Total","Subpathway8_All_by_Group_Total"
"1","Acidobacteriota",13,2,11,13,2,13,0,0,13,9.75,13,4.25,6.5,7.5,9.75,8.666666671,8.000000003,13,1199.99,1,0.153846153846154,0.846153846153846,1,0.153846153846154,1,0,0,1,0.75,1,0.326923076923077,0.5,0.576923076923077,0.75,0.666666667,0.615384615615385
"2","Actinobacteriota",43,80,1,43,63,82,0,35,81,50.75,62.25,65,45.25,76.5,56.75,41.333333334,27.333333307,82,7862.09,0.524390243902439,0.975609756097561,0.0121951219512195,0.524390243902439,0.768292682926829,1,0,0.426829268292683,0.98780487804878,0.61890243902439,0.759146341463415,0.792682926829268,0.551829268292683,0.932926829268293,0.692073170731707,0.504065040658537,0.333333333012195
"3","Alpha-Other",120,573,21,120,574,574,0,568,316,345.5,282.5,572.25,434.25,509.25,371.25,145.333333256,112.333333226,574,53526.26,0.209059233449477,0.998257839721254,0.0365853658536585,0.209059233449477,1,1,0,0.989547038327526,0.550522648083624,0.60191637630662,0.492160278745645,0.996951219512195,0.756533101045296,0.88719512195122,0.646777003484321,0.253193960376307,0.195702671125436
"4","Alpha-Rhodobacter",382,34,383,382,34,412,0,411,199,396.75,343.75,222.75,310,169.75,257,193.666666659,193.999999993,412,39465.16,0.927184466019418,0.0825242718446602,0.929611650485437,0.927184466019418,0.0825242718446602,1,0,0.997572815533981,0.483009708737864,0.962985436893204,0.834344660194175,0.540655339805825,0.752427184466019,0.412014563106796,0.62378640776699,0.470064724900485,0.470873786390777
"5","Bacteria-Other",34,43,15,34,60,67,0,31,56,41.5,47.75,50.25,43.25,56.5,49.5,30,23.666666657,67,6027.31,0.507462686567164,0.641791044776119,0.223880597014925,0.507462686567164,0.895522388059702,1,0,0.462686567164179,0.835820895522388,0.619402985074627,0.712686567164179,0.75,0.645522388059702,0.843283582089552,0.738805970149254,0.447761194029851,0.353233830701493
"6","Bacteroidota",4,16,1,4,13,17,0,13,14,9.5,9.75,14.75,11,15,11.25,5.999999995,4.999999996,17,1671.01,0.235294117647059,0.941176470588235,0.0588235294117647,0.235294117647059,0.764705882352941,1,0,0.764705882352941,0.823529411764706,0.558823529411765,0.573529411764706,0.867647058823529,0.647058823529412,0.882352941176471,0.661764705882353,0.352941176176471,0.294117646823529
"7","Chloroflexota",28,0,28,28,0,28,0,12,28,24,28,10,17,14,21,18.666666676,18.666666676,28,2562.32,1,0,1,1,0,1,0,0.428571428571429,1,0.857142857142857,1,0.357142857142857,0.607142857142857,0.5,0.75,0.666666667,0.666666667
"8","Cyano-Other",12,0,19,12,20,20,0,18,19,15.5,15.75,14.5,19.25,14.75,19.5,10.333333335,12.666666672,20,1735.29,0.6,0,0.95,0.6,1,1,0,0.9,0.95,0.775,0.7875,0.725,0.9625,0.7375,0.975,0.51666666675,0.6333333336
"9","Cyano-Pro",246,0,242,246,267,267,0,219,234,244.5,248.25,188.25,248.75,192,252.5,160.000000053,158.666666721,267,23244.76,0.921348314606742,0,0.906367041198502,0.921348314606742,1,1,0,0.820224719101124,0.876404494382023,0.915730337078652,0.929775280898876,0.705056179775281,0.931647940074906,0.719101123595506,0.945692883895131,0.59925093652809,0.594257178730337
"10","Cyano-Syn",64,0,56,64,64,64,0,58,64,62.5,64,46.5,60.5,48,62,42.666666688,40.000000016,64,5761.76,1,0,0.875,1,1,1,0,0.90625,1,0.9765625,1,0.7265625,0.9453125,0.75,0.96875,0.666666667,0.62500000025
