,Step1,Step2,Step3,Step4,Step5,Subpathway1,Subpathway2,MaxCompletion,Group,Completion,Type
MARD_SAMN10141426_REFG_MMP10141426,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.46,RefGenome
MARD_SAMEA2272178_REFG_MMP2272178,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Actinobacteriota,99.57,RefGenome
MARD_SAMD00040648_REFG_MMP00040648,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.76,RefGenome
MARD_SAMN04488110_REFG_MMP04488110,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,100,RefGenome
MARD_SAMN04571751_REFG_MMP04571751,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.56,RefGenome
MARD_SAMN03999393_REFG_MMP03999393,1,0,0,0,0,0.333333333333333,0,0.333333333333333,Actinobacteriota,99.64,RefGenome
MARD_SAMN04026265_REFG_MMP04026265,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,98.78,RefGenome
MARD_SAMN09475466_REFG_MMP09475466,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.28,RefGenome
MARD_SAMEA4707921_REFG_MMP4707921,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Cyano-Syn,99.28,RefGenome
MARD_SAMN07811432_REFG_MMP07811432,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.22,RefGenome
MARD_SAMN10373778_REFG_MMP10373778,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.51,RefGenome
MARD_SAMN03999384_REFG_MMP03999384,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.24,RefGenome
MARD_SAMD00042842_REFG_MMP00042842,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.33,RefGenome
MARD_SAMN09508721_REFG_MMP09508721,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.42,RefGenome
MARD_SAMN03729478_REFG_MMP03729478,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.29,RefGenome
MARD_SAMD00023549_REFG_MMP00023549,1,0,1,0,0,0.666666666666667,0,0.666666666666667,Actinobacteriota,99.49,RefGenome
