,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Subpathway1,Subpathway2,Subpathway3,Subpathway4,Subpathway5,Subpathway6,Subpathway7,Subpathway8,MaxCompletion,Group,Completion,Type
MARD_SAMN10141426_REFG_MMP10141426,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,99.46,RefGenome
MARD_SAMEA2272178_REFG_MMP2272178,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,99.57,RefGenome
MARD_SAMD00040648_REFG_MMP00040648,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.76,RefGenome
MARD_SAMN04488110_REFG_MMP04488110,0,1,1,0,0,1,0,0,1,0.25,0.5,0.5,0.75,0.75,0.75,0.333333333333333,0.666666666666667,0.75,Actinobacteriota,100,RefGenome
MARD_SAMN04571751_REFG_MMP04571751,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,99.56,RefGenome
MARD_SAMN03999393_REFG_MMP03999393,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,99.64,RefGenome
MARD_SAMN04026265_REFG_MMP04026265,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,98.78,RefGenome
MARD_SAMN09475466_REFG_MMP09475466,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,99.28,RefGenome
MARD_SAMEA4707921_REFG_MMP4707921,1,0,1,0,1,1,0,0,1,0.5,0.75,0.5,0.75,0.75,1,0.666666666666667,0.666666666666667,1,Cyano-Syn,99.28,RefGenome
MARD_SAMN07811432_REFG_MMP07811432,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.22,RefGenome
MARD_SAMN10373778_REFG_MMP10373778,0,1,1,0,0,1,0,0,1,0.25,0.5,0.5,0.75,0.75,0.75,0.333333333333333,0.666666666666667,0.75,Actinobacteriota,99.51,RefGenome
MARD_SAMN03999384_REFG_MMP03999384,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,99.24,RefGenome
MARD_SAMD00042842_REFG_MMP00042842,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.33,RefGenome
MARD_SAMN09508721_REFG_MMP09508721,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,99.42,RefGenome
MARD_SAMN03729478_REFG_MMP03729478,0,1,1,0,0,1,0,0,1,0.25,0.5,0.5,0.75,0.75,0.75,0.333333333333333,0.666666666666667,0.75,Actinobacteriota,99.29,RefGenome
MARD_SAMD00023549_REFG_MMP00023549,0,1,0,0,1,1,0,1,1,0.5,0.5,1,0.5,1,0.75,0.333333333333333,0.333333333333333,1,Actinobacteriota,99.49,RefGenome
MARD_SAMN10141419_REFG_MMP10141419,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,96.8,RefGenome
MARD_SAMD00129508_REFG_MMP00129508,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,99.34,RefGenome
MARD_SAMN09508719_REFG_MMP09508719,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,99.42,RefGenome
