"","Genome","Cysteine.Biosynthesis","SO4thiosulfate.transporter","Methionine.Synthesis","Methionine.Transport","Cysteine.Degradation","Methionine.Degradation","Methionine.Salvage.Part.1","Methionine.Salvage.Part.2","Methionine.Salvage.Fusion.Enzyme","Methionine.Salvage.Anaerobic.Isoprenoid.Shunt","Methionine.Salvage.Anaerobic.Degradation.of.MTRu1P","Methionine...N.Acyl.L.homoserine.lactone","Glutathione.Synthesis","Glutathione.Transporter","DHPS.Transporter","DHPS.Degradation","DMSP.degradation","Taurine.Transport","Taurine.Degradation","Hypotaurine.Degradation","Isethionate.Transport","N.acetyltaurine.Transport","DOS.Misc.Degradation.2","DOS.Misc.Degradation.3","DOS.Misc.Degradation.4","Choline.O.sulfate.Degradation","Choline.O.sulfate.Transport","Cysteate.Degradation","Biotin.Transport","Biotin.Degradation","Coenzyme.A.Degradation","Methanethiol.Degradation","Methanethiol.Synthesis","X3.Mercaptopyruvate.Degradation","Glutathione.disulfide.degradation.and.synthesis","Dimethylsulfoxide.Degradation","Dimethylsulfone.Degradation","Methanesulfonate.Degradation","Sulfolactate.degradation","Sulfopyruvate.Degradation","Sulfoacetaldehyde.Degradation","S.adenosyl.L.homocysteine.degradation"
"MARD_SAMN10141426_REFG_MMP10141426","MARD_SAMN10141426_REFG_MMP10141426",1,0,1,1,1,1,0.8,0.2,0,0.666666666666667,1,0,0.5,1,0,0,1,0,1,0,0,1,1,0,1,0.666666666666667,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MARD_SAMEA2272178_REFG_MMP2272178","MARD_SAMEA2272178_REFG_MMP2272178",1,0,1,1,1,0.666666666666667,0.8,0.2,0,0.666666666666667,1,0,0.5,1,0,0,1,1,1,0,0,1,1,0,1,0.666666666666667,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0
"MARD_SAMD00040648_REFG_MMP00040648","MARD_SAMD00040648_REFG_MMP00040648",1,1,1,1,1,1,1,0.75,0,0.333333333333333,1,0,0.5,1,0,0,1,1,1,1,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1
"MARD_SAMN04488110_REFG_MMP04488110","MARD_SAMN04488110_REFG_MMP04488110",1,0,1,0,1,1,0.6,0,0,0.666666666666667,1,0,0.5,0,0,0,1,0,0,1,0,1,1,0,1,0.666666666666667,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1
"MARD_SAMN04571751_REFG_MMP04571751","MARD_SAMN04571751_REFG_MMP04571751",1,0,1,1,1,1,0.8,0.2,0,0.333333333333333,1,0,0.5,0,0,0,1,1,1,0,0,1,1,0,1,0.666666666666667,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1
"MARD_SAMN03999393_REFG_MMP03999393","MARD_SAMN03999393_REFG_MMP03999393",1,0,1,1,1,0.666666666666667,0.8,0.4,0,0.666666666666667,1,0,0.5,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
"MARD_SAMN04026265_REFG_MMP04026265","MARD_SAMN04026265_REFG_MMP04026265",1,0,1,1,1,1,0.8,0.2,0,1,1,0,0.5,0,1,0,1,0,1,0,1,1,1,0,1,0.666666666666667,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1
"MARD_SAMN09475466_REFG_MMP09475466","MARD_SAMN09475466_REFG_MMP09475466",1,1,1,1,1,1,0.4,0.2,0,0.333333333333333,1,0,0.5,1,0,0,1,0,0,0,0,1,1,0,1,0.333333333333333,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1
"MARD_SAMEA4707921_REFG_MMP4707921","MARD_SAMEA4707921_REFG_MMP4707921",1,0,1,0,1,1,1,0.75,0,0.666666666666667,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
"MARD_SAMN07811432_REFG_MMP07811432","MARD_SAMN07811432_REFG_MMP07811432",1,1,1,1,1,1,0.6,0.2,0,0.333333333333333,1,0,0.5,1,0,0,1,0,0,0,0,0,0,0,1,0.333333333333333,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1
