"","Step1:K11690","Step1:NA","Step1:NA"
"MARD_SAMN10141426_REFG_MMP10141426",0,0,0
"MARD_SAMEA2272178_REFG_MMP2272178",0,0,0
"MARD_SAMD00040648_REFG_MMP00040648",0,0,0
"MARD_SAMN04488110_REFG_MMP04488110",0,0,0
"MARD_SAMN04571751_REFG_MMP04571751",0,0,0
"MARD_SAMN03999393_REFG_MMP03999393",0,0,0
"MARD_SAMN04026265_REFG_MMP04026265",1,0,0
"MARD_SAMN09475466_REFG_MMP09475466",0,0,0
"MARD_SAMEA4707921_REFG_MMP4707921",1,0,0
"MARD_SAMN07811432_REFG_MMP07811432",0,0,0
"MARD_SAMN10373778_REFG_MMP10373778",0,0,0
"MARD_SAMN03999384_REFG_MMP03999384",0,0,0
"MARD_SAMD00042842_REFG_MMP00042842",0,0,0
"MARD_SAMN09508721_REFG_MMP09508721",0,0,0
"MARD_SAMN03729478_REFG_MMP03729478",0,0,0
"MARD_SAMD00023549_REFG_MMP00023549",0,0,0
"MARD_SAMN10141419_REFG_MMP10141419",0,0,0
"MARD_SAMD00129508_REFG_MMP00129508",0,0,0
"MARD_SAMN09508719_REFG_MMP09508719",0,0,0
"MARD_SAMN09786811_REFG_MMP09786811",0,0,0
"MARD_SAMN03999371_REFG_MMP03999371",0,0,0
"MARD_SAMN10276034_REFG_MMP10276034",0,0,0
"TARA_SAMEA2621033_METAG_KKHCHOLN",1,0,0
"MARD_SAMN07811444_REFG_MMP07811444",0,0,0
"MARD_SAMN04488481_REFG_MMP04488481",0,0,0
"MALA_SAMN05422113_METAG_MLBGOJNK",0,0,0
"TARA_SAMEA2623477_METAG_GIEMLDKG",0,0,0
"MARD_SAMN08886631_SAGS_MMP08886631",0,0,0
"MARD_SAMN04487806_REFG_MMP04487806",0,0,0
"MALA_SAMN05421555_METAG_BIOJCFAG",0,0,0
"TARA_SAMEA2623741_METAG_DLKGCKBM",0,0,0
"TARA_SAMEA2623601_METAG_PIAMPJPB",0,0,0
"MARD_SAMN04026262_REFG_MMP04026262",1,0,0
"MARD_SAMN05216266_REFG_MMP05216266",1,0,0
"MARD_SAMN05421803_REFG_MMP05421803",1,0,0
"MALA_SAMN05422175_METAG_BBPNIOOI",0,0,0
"MALA_SAMN05422140_METAG_ICPPLJGM",0,0,0
"MALA_SAMN05422137_METAG_HLLJDLBE",0,0,0
