Pathway Number,Metabolite,Broad pathway description,Oxidation State,"Kind of Metabolism (Synthesis, Degradation, Transport)",Step,StepName,Enzyme,Step description,Name,Definition,KEGG Reaction,KEGG Enzyme,KO,Category of Metabolism,Gene,EnzymeName,Diagnostic,DeltaGm,DeltaG0,ATP Requirement,ATP Creation,O2 Requirement,NAD+/NADP+ Req.,NADH/NADPH Requirement,FAD Req.,FADH2 Requirement,Notes
1,Sulfate,Sulfate Assimilation,6,,1,,1,,,,R00529,2.7.7.4,K13811,,papss,,,,,,,,,,,,
1,Sulfate,Sulfate Assimilation,6,,2,,1,,,,R00529,2.7.7.4,K00955,,cysNC,,,,,,,,,,,,
1,Sulfate,Sulfate Assimilation,6,,2,,2,,,,R00529,2.7.7.4,K00956,,cysN,,,,,,,,,,,,
1,Sulfate,Sulfate Assimilation,6,,2,,2,,,,R00529,2.7.7.4,K00957,,cysD,,,,,,,,,,,,
1,Sulfate,Sulfate Assimilation,6,,3,,1,,,,R00529,2.7.7.4,K00958,,sat,,,,,,,,,,,,
1,Sulfate,Sulfate Assimilation,6,,4,,1,,,,R00509,2.7.1.25,K13811,,papss,,,,,,,,,,,,
1,Sulfate,Sulfate Assimilation,6,,5,,1,,,,R00509,2.7.1.25,K00955,,cysNC,,,,,,,,,,,,
1,Sulfate,Sulfate Assimilation,6,,5,,2,,,,R00509,2.7.1.25,K00860,,cysC,,,,,,,,,,,,
1,Sulfate,Sulfate Assimilation,6,,6,,1,,,,R02021,1.8.4.8,K00390,,cysH,,,,,,,,,,,,
1,Sulfate,Sulfate Assimilation,6,,7,,1,,,,R05717,1.8.4.9,K05907,,apr,,,,,,,,,,,,
1,Sulfate,Sulfate Assimilation,6,,8,,1,,,,R00858,1.8.1.2,K00380,,cysJ,,,,,,,,,,,,
1,Sulfate,Sulfate Assimilation,6,,8,,1,,,,R00858,1.8.1.2,K00381,,cysI,,,,,,,,,,,,
1,Sulfate,Sulfate Assimilation,6,,9,,2,,,,R00859,1.8.7.1,K00392,,sir,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sulfate,Dissimilatory Sulfate Reduction,6,,1,,1,,,,R00529,2.7.7.4,K00958,,sat,,,,,,,,,,,,
2,Sulfate,Dissimilatory Sulfate Reduction,6,,2,,1,,,,R08553,1.8.99.2,K00394,,aprA,,,,,,,,,,,,
2,Sulfate,Dissimilatory Sulfate Reduction,6,,2,,1,,,,R08553,1.8.99.2,K00395,,aprB,,,,,,,,,,,,
2,Sulfate,Dissimilatory Sulfate Reduction,6,,3,,1,,,,R00861,1.8.1.22,K11180,,dsrA,,,,,,,,,,,,
2,Sulfate,Dissimilatory Sulfate Reduction,6,,3,,1,,,,R00861,1.8.1.22,K11181,,dsrB,,,,,,,,,,,,
2,Sulfate,Dissimilatory Sulfate Reduction,6,,3,,1,,,,R00861,1.8.1.22,K27196,,dsrL,,,,,,,,,,,,
2,Sulfate,Dissimilatory Sulfate Reduction,6,,4,,1,,,,R13227,1.8.5.10,K27187,,dsrM,,,,,,,,,,,,
2,Sulfate,Dissimilatory Sulfate Reduction,6,,4,,1,,,,R13227,1.8.5.10,K27188,,dsrK,,,,,,,,,,,,
2,Sulfate,Dissimilatory Sulfate Reduction,6,,4,,1,,,,R13227,1.8.5.10,K27189,,dsrJ,,,,,,,,,,,,
2,Sulfate,Dissimilatory Sulfate Reduction,6,,4,,1,,,,R13227,1.8.5.10,K27190,,dsrO,,,,,,,,,,,,
2,Sulfate,Dissimilatory Sulfate Reduction,6,,4,,1,,,,R13227,1.8.5.10,K27191,,dsrP,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,1,,1,,,,R00586,2.3.1.30,K00640,,cysE,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,1,,2,,,,R00586,2.3.1.30,K23304,,cysE2,,,,,,,,,,,,
