"","Step1:K00812","Step1:K00813","Step1:K11358","Step1:K14454","Step1:K00811","Step1:K14455","Step2:K17950","Step3:K05884","Step4:K16845","Step4:K16846"
"MARD_SAMN10141426_REFG_MMP10141426",1,0,0,0,0,0,0,0,0,0
"MARD_SAMEA2272178_REFG_MMP2272178",1,0,0,0,0,0,0,0,0,0
"MARD_SAMD00040648_REFG_MMP00040648",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN04488110_REFG_MMP04488110",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN04571751_REFG_MMP04571751",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN03999393_REFG_MMP03999393",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN04026265_REFG_MMP04026265",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN09475466_REFG_MMP09475466",1,0,0,0,0,0,0,0,0,0
"MARD_SAMEA4707921_REFG_MMP4707921",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN07811432_REFG_MMP07811432",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN10373778_REFG_MMP10373778",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN03999384_REFG_MMP03999384",1,0,0,0,0,0,0,0,0,0
"MARD_SAMD00042842_REFG_MMP00042842",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN09508721_REFG_MMP09508721",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN03729478_REFG_MMP03729478",0,0,0,0,0,0,0,0,0,0
"MARD_SAMD00023549_REFG_MMP00023549",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN10141419_REFG_MMP10141419",1,0,0,0,0,0,0,0,0,0
"MARD_SAMD00129508_REFG_MMP00129508",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN09508719_REFG_MMP09508719",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN09786811_REFG_MMP09786811",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN03999371_REFG_MMP03999371",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN10276034_REFG_MMP10276034",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2621033_METAG_KKHCHOLN",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN07811444_REFG_MMP07811444",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN04488481_REFG_MMP04488481",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422113_METAG_MLBGOJNK",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2623477_METAG_GIEMLDKG",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN08886631_SAGS_MMP08886631",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN04487806_REFG_MMP04487806",1,0,0,0,0,0,0,0,0,0
"MALA_SAMN05421555_METAG_BIOJCFAG",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2623741_METAG_DLKGCKBM",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2623601_METAG_PIAMPJPB",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN04026262_REFG_MMP04026262",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN05216266_REFG_MMP05216266",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN05421803_REFG_MMP05421803",1,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422175_METAG_BBPNIOOI",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422140_METAG_ICPPLJGM",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422137_METAG_HLLJDLBE",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2622119_METAG_JEJNGPMI",1,0,0,0,0,0,0,0,0,0
"TARA_SAMN05326645_METAG_PSE00016",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN04026261_REFG_MMP04026261",1,0,0,0,0,0,0,0,0,0
"MARD_SAMD00017647_REFG_MMP00017647",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN04495211_REFG_MMP04495211",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN09786826_REFG_MMP09786826",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN05216284_REFG_MMP05216284",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN03729480_REFG_MMP03729480",1,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422175_METAG_JCAGPLKC",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422140_METAG_KDGIOPII",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422189_METAG_KDFHKFLA",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422133_METAG_FOGKKEHN",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05421913_METAG_LICMHBMD",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422120_METAG_CMDEFOFJ",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422113_METAG_HCMEOPMD",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422165_METAG_CHJKKJPH",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05421555_METAG_IJMJPABA",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05421697_METAG_LIEFMPLO",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422153_METAG_ANPKIMNM",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422137_METAG_DPJCFKJG",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422127_METAG_BMMMIACD",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN05897984_REFG_MMP05897984",0,0,0,0,0,0,0,0,0,0
"MARD_SAMEA2271987_REFG_MMP2271987",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN05897974_REFG_MMP05897974",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN02470933_REFG_MMP02470933",1,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422115_METAG_ECLHGDNH",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN05017772_REFG_MMP05017772",0,0,0,0,0,0,0,0,0,0
"MARD_SAMEA3297057_REFG_MMP3297057",0,0,0,0,0,0,0,0,0,0
"MARD_SAMEA4707922_REFG_MMP4707922",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN05792885_REFG_MMP05792885",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2620672_METAG_ILIJGAAN",1,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422148_METAG_CKCFHHDP",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05421697_METAG_FKHHNDDA",0,0,0,0,0,0,0,0,0,0
"TARA_SAMN05326645_METAG_PSE00037",1,0,1,0,0,0,0,0,0,0
"MARD_SAMN07311721_REFG_MMP07311721",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN05897979_REFG_MMP05897979",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN05897987_REFG_MMP05897987",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN05897988_REFG_MMP05897988",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN05898003_REFG_MMP05898003",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN05444487_REFG_MMP05444487",1,0,0,0,0,0,0,0,0,0
"TARA_SAMN05326641_METAG_ANW00068",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN05897977_REFG_MMP05897977",0,0,0,0,0,0,0,0,0,0
"MARD_SAMEA3146264_REFG_MMP3146264",1,0,1,0,0,0,0,0,0,0
"MARD_SAMEA3146263_REFG_MMP3146263",1,0,1,0,0,0,0,0,0,0
"MARD_SAMN08384890_REFG_MMP08384890",1,0,0,0,0,0,0,0,0,0
"MARD_SAMD00046775_REFG_MMP00046775",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN04999933_REFG_MMP04999933",0,1,0,0,0,0,0,0,0,0
"MARD_SAMN05421806_REFG_MMP05421806",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2623054_METAG_OCMKBGHM",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2623477_METAG_OKOGOBFK",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2623601_METAG_LGBFILLL",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2622658_METAG_CHOAGAJB",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2623673_METAG_INBBCOBA",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2622119_METAG_PPKCDGLG",1,0,1,0,0,0,0,0,0,0
"MALA_SAMN05422189_METAG_HFLHJDGN",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422147_METAG_DIMFAPIO",0,0,0,0,0,0,0,0,0,0
"MARD_SAMD00056695_REFG_MMP00056695",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN05375008_REFG_MMP05375008",1,0,1,0,0,0,0,0,0,0
"MARD_SAMN05897982_REFG_MMP05897982",0,0,0,0,0,0,0,0,0,0
"MARD_SAMEA3146296_REFG_MMP3146296",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN02436107_REFG_MMP02436107",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN09041732_REFG_MMP09041732",1,0,1,0,0,0,0,1,0,0
"MARD_SAMN08979296_REFG_MMP08979296",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN08979297_REFG_MMP08979297",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN09389114_REFG_MMP09389114",1,0,1,0,0,0,0,0,0,0
"MARD_SAMN04488031_REFG_MMP04488031",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN02470762_REFG_MMP02470762",0,1,0,0,0,0,0,0,0,0
"TARA_SAMEA2622843_METAG_HAMAJGDK",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2622710_METAG_DGMLDIHH",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2622119_METAG_PIMPAEMO",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2623756_METAG_CHDMOBPJ",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2622901_METAG_ONLLOMFJ",1,0,1,0,0,0,0,0,0,0
"TARA_SAMEA2623350_METAG_DDHLMPBK",1,0,1,0,0,0,0,0,0,0
"MALA_SAMN05422160_METAG_ANLEPEDM",0,0,0,0,0,0,0,0,0,0
"TARA_SAMN05326644_METAG_PON00013",1,0,1,0,0,0,0,0,0,0
"TARA_SAMN05326641_METAG_ANW00006",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN09245787_REFG_MMP09245787",0,0,0,0,0,0,0,0,0,0
"MARD_SAMEA18850168_REFG_MMP18850168",0,1,0,0,0,0,0,0,0,0
"MARD_SAMN05408344_REFG_MMP05408344",0,1,0,0,0,0,0,0,0,0
"MARD_SAMN02261354_REFG_MMP02261354",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN10231957_REFG_MMP10231957",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN05728473_REFG_MMP05728473",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN05687755_REFG_MMP05687755",0,1,0,0,0,0,0,0,0,0
"TARA_SAMEA2730749_METAG_OLPPLKCL",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2623859_METAG_BABDCONI",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4397666_METAG_KIBCBFEH",0,1,0,0,0,0,0,0,0,0
"TARA_SAMEA2622765_METAG_MAMIPFJC",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2622716_METAG_HLCJJFFL",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2622823_METAG_INOAMIGG",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422170_METAG_EDLGNPJL",0,0,0,0,0,0,0,0,0,0
"TARA_SAMN05326646_METAG_PSW00017",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN05284051_REFG_MMP05284051",1,0,0,0,0,0,0,0,1,1
"MARD_SAMN08886634_SAGS_MMP08886634",1,0,0,0,0,0,0,0,0,0
"MARD_SAMD00000429_REFG_MMP00000429",1,0,0,0,0,0,0,0,0,0
"MARD_SAMEA3146324_REFG_MMP3146324",0,0,1,0,0,0,0,0,0,0
"MARD_SAMN02261244_REFG_MMP02261244",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN02441415_REFG_MMP02441415",1,0,1,0,0,0,0,0,0,0
"MARD_SAMN09920664_REFG_MMP09920664",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN08979298_REFG_MMP08979298",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4398387_METAG_JJNBKCLE",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4398360_METAG_PDKANFIF",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4398001_METAG_ICBKCJOL",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2623116_METAG_MLHPBBMM",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2622766_METAG_KENIBHCH",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422140_METAG_DMBKAHMH",0,0,0,0,0,0,0,0,0,0
"TARA_SAMN05326645_METAG_PSE00039",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN08886510_SAGS_MMP08886510",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN06140193_REFG_MMP06140193",0,1,0,0,0,0,0,0,0,0
"MARD_SAMEA3872802_REFG_MMP3872802",0,1,0,0,0,0,1,0,1,1
"MARD_SAMN02261341_REFG_MMP02261341",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN02436091_REFG_MMP02436091",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN02436130_REFG_MMP02436130",1,0,0,0,0,0,0,1,0,0
"MARD_SAMN02436164_REFG_MMP02436164",1,1,0,0,0,0,1,0,0,0
"MARD_SAMN08918410_REFG_MMP08918410",1,1,0,0,0,0,0,0,0,0
"MARD_SAMEA4707923_REFG_MMP4707923",1,0,0,0,0,0,0,0,0,0
"MARD_SAMD00053328_REFG_MMP00053328",0,0,0,0,0,0,1,1,0,0
"MARD_SAMD00053329_REFG_MMP00053329",1,0,1,0,0,0,0,0,0,0
"MARD_SAMN05216207_REFG_MMP05216207",0,0,0,0,0,0,0,0,0,0
"MARD_SAMEA3872803_REFG_MMP3872803",0,1,0,0,0,0,1,0,1,1
"MARD_SAMN02745681_REFG_MMP02745681",0,1,0,0,0,0,0,0,0,0
"MARD_SAMN05421874_REFG_MMP05421874",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4398111_METAG_GFHMNJCF",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4398027_METAG_FDKLNHGC",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4398168_METAG_NGBJHDBI",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4397023_METAG_OPBOBABD",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4398387_METAG_OKGACJPI",0,0,0,0,0,0,1,0,0,0
"TARA_SAMEA4397051_METAG_PCLNEFKO",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2620666_METAG_OJMAHLBC",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2620756_METAG_MAJFFPAD",1,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422140_METAG_LOIBJDFA",1,1,0,0,0,0,1,0,0,0
"MARD_SAMN08794446_REFG_MMP08794446",0,1,0,0,0,0,0,0,0,0
"MARD_SAMN08886605_SAGS_MMP08886605",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN04965936_REFG_MMP04965936",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN02436137_REFG_MMP02436137",1,1,0,0,0,0,0,0,0,0
"MARD_SAMN02436225_REFG_MMP02436225",1,0,0,0,0,0,1,0,0,0
"MARD_SAMEA104692609_REFG_MMP104692609",1,1,0,0,0,0,1,0,0,0
"MARD_SAMN05421511_REFG_MMP05421511",1,0,0,0,0,0,1,0,0,0
"MARD_SAMN09989089_REFG_MMP09989089",1,0,0,0,0,0,0,0,1,1
"MARD_SAMN08918503_REFG_MMP08918503",1,1,0,0,0,0,0,0,0,0
"MARD_SAMN02745781_REFG_MMP02745781",0,1,0,0,0,0,0,0,0,0
"MARD_SAMN05444141_REFG_MMP05444141",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN05444484_REFG_MMP05444484",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN09522150_REFG_MMP09522150",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN05444365_REFG_MMP05444365",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN08568348_REFG_MMP08568348",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422120_METAG_PCCIOILD",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4396941_METAG_AOBPNINP",1,0,0,0,0,0,1,0,0,0
"TARA_SAMEA4397666_METAG_MHPADDOO",1,0,0,0,0,0,1,1,0,0
"TARA_SAMEA4397586_METAG_OLNPJHKL",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4397920_METAG_NHFLOOAL",1,0,0,0,0,0,1,1,0,0
"TARA_SAMEA4397118_METAG_AANKMKOK",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2622801_METAG_JBCDELJO",1,0,0,0,0,0,1,0,1,1
"TARA_SAMEA2623135_METAG_GANIGMCO",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2621779_METAG_BFIFFBPD",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2621812_METAG_MOHOOAMM",1,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422140_METAG_JIDOJPBB",1,1,0,0,0,0,0,0,0,0
