DATASET_HEATMAP
SEPARATOR,COMMA
DATASET_LABEL,Mean.Completeness
COLOR,#000000
FIELD_LABELS,Mean.Completeness
COLOR_MIN,#FFD900
COLOR_MAX,#6A00FF
DATA
BATS_SAMN07137064_METAG_BDCGNAHA,78.91
BATS_SAMN07137064_METAG_DMDDONGP,77.98
BATS_SAMN07137064_METAG_EFIEENIK,92.6
BATS_SAMN07137064_METAG_GCBKOPLF,91.35
BATS_SAMN07137064_METAG_HKFEGBEL,85.84
BATS_SAMN07137065_METAG_FEGJLPHI,78.57
BATS_SAMN07137065_METAG_FGHAKEJN,85.6
BATS_SAMN07137065_METAG_FHDKGKFO,88.32
BATS_SAMN07137066_METAG_OIGJKEJM,78.94
BATS_SAMN07137067_METAG_PDCABCCM,76.26
BATS_SAMN07137068_METAG_ALGCOOLA,82.34
BATS_SAMN07137069_METAG_DGGBNFID,83.74
BATS_SAMN07137069_METAG_NOFBKALA,88.7
BATS_SAMN07137069_METAG_NPIBKNEE,80.37
BATS_SAMN07137070_METAG_APGOECFM,78.62
BATS_SAMN07137070_METAG_BGKDDPME,79.57
BATS_SAMN07137070_METAG_BLPGIOAK,93.97
BATS_SAMN07137070_METAG_FENLIEBD,88.91
BATS_SAMN07137070_METAG_IHHCNMND,85.1
BATS_SAMN07137070_METAG_LAFPDKBJ,81.96
BATS_SAMN07137071_METAG_BHOICPJG,81.87
BATS_SAMN07137071_METAG_JJLIDMBB,81.86
BATS_SAMN07137071_METAG_LMCBPIBL,79.06
BATS_SAMN07137071_METAG_NHDEKCKD,90.26
BATS_SAMN07137071_METAG_PONJEGOG,83.36
BATS_SAMN07137072_METAG_DFJNNDLE,93.24
BATS_SAMN07137072_METAG_DGLHFLDN,86.29
BATS_SAMN07137072_METAG_DMGBPHJB,80.53
BATS_SAMN07137072_METAG_HNDGHLMM,82.52
BATS_SAMN07137072_METAG_MPFHPFLA,77.07
BATS_SAMN07137072_METAG_POIDIKNE,79.31
BATS_SAMN07137073_METAG_JMILPFGP,77.43
BATS_SAMN07137073_METAG_LPHCDAGP,81.83
BATS_SAMN07137074_METAG_EHPJFMIB,77
BATS_SAMN07137074_METAG_HDEINNNP,82.26
BATS_SAMN07137074_METAG_IMGDKPKL,79.57
BATS_SAMN07137074_METAG_IMLDABME,86.06
BATS_SAMN07137074_METAG_NKPOJNIF,78.24
BATS_SAMN07137074_METAG_OFNLGJME,77.88
BATS_SAMN07137075_METAG_ACAOHBAE,89.62
BATS_SAMN07137075_METAG_AKJHGNLI,76.06
BATS_SAMN07137075_METAG_AOGNDBLA,79.07
BATS_SAMN07137075_METAG_ELGOECLA,91.82
BATS_SAMN07137075_METAG_LAJLEDEO,76.82
BATS_SAMN07137075_METAG_MCFJILNF,78.15
BATS_SAMN07137076_METAG_CAHCOHNA,77.62
BATS_SAMN07137076_METAG_CNALAKDP,75.9
BATS_SAMN07137076_METAG_LJNCHAMC,75.69
BATS_SAMN07137077_METAG_EGGHALDA,84.45
BATS_SAMN07137077_METAG_GMOHACNB,90.13
BATS_SAMN07137078_METAG_BFEFAKNI,86.79
BATS_SAMN07137078_METAG_CCKNAKNE,77.1
BATS_SAMN07137078_METAG_HOACHCKF,85.16
BATS_SAMN07137078_METAG_PEIKFEOP,75.81
BATS_SAMN07137080_METAG_GGGCCEFE,82.56
BATS_SAMN07137080_METAG_HGHEONPE,76.46
BATS_SAMN07137080_METAG_HLJFGJKK,85.22
BATS_SAMN07137080_METAG_JCLACDHD,79.24
BATS_SAMN07137080_METAG_KPNAPJCN,77.76
BATS_SAMN07137080_METAG_MCGMJANA,78.95
BATS_SAMN07137080_METAG_MMHFAGGL,86.88
BATS_SAMN07137080_METAG_MMKIJFCG,81.06
BATS_SAMN07137081_METAG_DBGAEJKF,78.52
BATS_SAMN07137081_METAG_EDAPPPOL,80.85
BATS_SAMN07137083_METAG_AJFMLBHD,77.85
BATS_SAMN07137083_METAG_EDECNLOO,78.54
BATS_SAMN07137084_METAG_GGABDFMM,88.84
