DATASET_HEATMAP
SEPARATOR,COMMA
DATASET_LABEL,pathways
COLOR,#ff0000
FIELD_LABELS,Cysteine.Biosynthesis,Sulfite.Export,Methanethiol.Degradation,Cysteine.Degradation,Coenzyme.A.Degradation,S.adenosyl.L.homocysteine.degradation,Cysteate.Degradation,DMSP.degradation,Biotin.Degradation,N.acetyltaurine.Transport,Sulfoacetaldehyde.Degradation,Isethionate.Transport,DHPS.Transporter,Methionine.Synthesis,X3.Mercaptopyruvate.Degradation,Glutathione.Synthesis,Glutathione.disulfide.degradation.and.synthesis,Biotin.Transport,Taurine.Degradation,DHPS.Degradation,Methanethiol.Synthesis,Methionine.Degradation,Hypotaurine.Degradation,Taurine.Transport,Methanesulfonate.Degradation,Choline.O.sulfate.Transport,Methionine.Transport,Sulfolactate.degradation,Sulfopyruvate.Degradation,Methionine...N.Acyl.L.homoserine.lactone,SO4thiosulfate.transporter,Dimethylsulfoxide.Degradation,Choline.O.sulfate.Degradation,Dimethylsulfone.Degradation,Glutathione.Transporter,Sulfite.Dehydrogenase
LEGEND_COLORS,#A88205,#A88205,#2F397A,#A88205,#A88205,#415521,#A88205,#415521,#2F397A,#2F397A,#2F397A,#2F397A,#2F397A,#A88205,#2F397A,#2F397A,#2F397A,#415521,#2F397A,#A88205,#2F397A,#A88205,#2F397A,#2F397A,#2F397A,#2F397A,#2F397A,#415521,#2F397A,#2F397A,#2F397A,#2F397A,#2F397A,#2F397A,#415521,#A88205
DATA
BATS_SAMN07137064_METAG_BDCGNAHA,1,1,1,1,1,1,1,0,0,0,1,1,1,0.333333333,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137064_METAG_DMDDONGP,1,1,1,1,1,1,0,1,1,1,1,0,0,0.666666667,0,0.5,0,0,1,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137064_METAG_EFIEENIK,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137064_METAG_GCBKOPLF,1,1,1,1,1,1,1,0,1,1,0,0,0,0.833333333,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137064_METAG_HKFEGBEL,1,1,1,1,1,0,1,1,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137065_METAG_FEGJLPHI,1,1,1,1,1,0,0,0,0,0,0,0,0,0.833333333,0,0.5,0,1,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137065_METAG_FGHAKEJN,0.5,1,0,0,0,1,0,1,1,0,1,0,0,0.5,1,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137065_METAG_FHDKGKFO,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0.5,1,1,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137066_METAG_OIGJKEJM,0.5,1,0,1,0,1,0,1,1,0,1,0,0,0.5,1,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137067_METAG_PDCABCCM,1,1,1,1,1,1,0,1,0,0,1,1,1,0.666666667,0,1,0,1,0,1,0,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137068_METAG_ALGCOOLA,1,0,1,1,0,1,1,1,0,1,1,0,0,0.666666667,1,0,0,1,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137069_METAG_DGGBNFID,1,1,1,0.5,1,1,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137069_METAG_NOFBKALA,0.5,1,0,1,0,1,0,1,1,0,0,0,0,0.75,1,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137069_METAG_NPIBKNEE,0.5,1,0,1,1,1,1,1,1,1,1,0,0,0.5,1,0,0,0,0,0,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0.666666667,0,0,0
BATS_SAMN07137070_METAG_APGOECFM,1,1,1,1,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
