"","Group","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Subpathway1","Subpathway2","Subpathway3","Subpathway4","Subpathway5","Subpathway6","Subpathway7","Subpathway8","MaxCompletion","Completion","Step1_All_by_Group_Total","Step2_All_by_Group_Total","Step3_All_by_Group_Total","Step4_All_by_Group_Total","Step5_All_by_Group_Total","Step6_All_by_Group_Total","Step7_All_by_Group_Total","Step8_All_by_Group_Total","Step9_All_by_Group_Total","Subpathway1_All_by_Group_Total","Subpathway2_All_by_Group_Total","Subpathway3_All_by_Group_Total","Subpathway4_All_by_Group_Total","Subpathway5_All_by_Group_Total","Subpathway6_All_by_Group_Total","Subpathway7_All_by_Group_Total","Subpathway8_All_by_Group_Total"
"1","Acidobacteriota",0,2,0,0,0,1,0,0,0,0.25,0.25,0.75,0.25,0.75,0.25,0,0,0.75,271.43,0,2.66666666666667,0,0,0,1.33333333333333,0,0,0,0.333333333333333,0.333333333333333,1,0.333333333333333,1,0.333333333333333,0,0
"2","Actinobacteriota",0,33,2,0,0,1,0,4,2,1.25,0.75,9.5,1.75,9,1.25,0.666666666,1.333333332,10.25,3513.91,0,3.21951219512195,0.195121951219512,0,0,0.0975609756097561,0,0.390243902439024,0.195121951219512,0.121951219512195,0.0731707317073171,0.926829268292683,0.170731707317073,0.878048780487805,0.121951219512195,0.0650406503414634,0.130081300682927
"3","Alpha-Other",0,51,64,0,6,10,0,44,4,13.5,3.5,27.75,31,17.75,21,1.333333332,22.666666644,43.75,15167.52,0,1.16571428571429,1.46285714285714,0,0.137142857142857,0.228571428571429,0,1.00571428571429,0.0914285714285714,0.308571428571429,0.08,0.634285714285714,0.708571428571429,0.405714285714286,0.48,0.0304761904457143,0.518095237577143
"4","Alpha-Pelagibacter",0,7,0,0,0,0,0,0,0,0,0,1.75,0,1.75,0,0,0,1.75,619.28,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"5","Alpha-Puniceispirilla",0,3,5,0,0,0,0,8,1,2,0.25,2.75,3.25,1,1.5,0.333333333,1.999999998,4,1420.83,0,0.75,1.25,0,0,0,0,2,0.25,0.5,0.0625,0.6875,0.8125,0.25,0.375,0.08333333325,0.4999999995
"6","Alpha-Rhodobacter",0,1,1,0,0,21,0,13,3,8.5,6,8.75,8.75,6.25,6.25,0.999999999,1.333333332,9,3053.68,0,0.111111111111111,0.111111111111111,0,0,2.33333333333333,0,1.44444444444444,0.333333333333333,0.944444444444444,0.666666666666667,0.972222222222222,0.972222222222222,0.694444444444444,0.694444444444444,0.111111111,0.148148148
"7","Alpha-Rhodobacter-LowGC",0,3,2,0,0,0,0,2,0,0.5,0,1.25,1,0.75,0.5,0,0.666666666,1.75,579.35,0,1.71428571428571,1.14285714285714,0,0,0,0,1.14285714285714,0,0.285714285714286,0,0.714285714285714,0.571428571428571,0.428571428571429,0.285714285714286,0,0.380952380571429
"8","Archaea-Halobacteria",0,0,1,0,0,0,0,0,54,0,13.5,0,0.25,13.5,13.75,17.999999982,18.333333315,13.75,5404.8,0,0,0.0727272727272727,0,0,0,0,0,3.92727272727273,0,0.981818181818182,0,0.0181818181818182,0.981818181818182,1,1.30909090778182,1.333333332
"9","Archaea-Nitrosopumilaceae",0,0,3,0,0,10,0,0,12,2.5,5.5,2.5,3.25,5.5,6.25,3.999999996,4.999999995,6.25,2105.66,0,0,0.48,0,0,1.6,0,0,1.92,0.4,0.88,0.4,0.52,0.88,1,0.63999999936,0.7999999992
"10","Archaea-Other",0,0,14,0,0,73,0,74,2,36.75,18.75,36.75,40.25,18.75,22.25,0.666666666,5.333333328,40.75,14552.71,0,0,0.343558282208589,0,0,1.79141104294479,0,1.8159509202454,0.049079754601227,0.901840490797546,0.460122699386503,0.901840490797546,0.987730061349693,0.460122699386503,0.54601226993865,0.0163599181840491,0.130879345472393
