,Genome,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Subpathway1,Subpathway2,Subpathway3,Subpathway4,Subpathway5,Subpathway6,Subpathway7,Subpathway8,MaxCompletion,Mean.Completeness,Lifestyle,taxa_elm
1,BATS_SAMN07137064_METAG_BDCGNAHA,0,1,0,0,0,1,0,0,0,0.25,0.25,0.5,0.25,0.5,0.25,0,0,0.5,78.91,incomplete,Bacteroidota
2,BATS_SAMN07137064_METAG_DMDDONGP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.98,auxotroph,Gamma-SAR86
3,BATS_SAMN07137064_METAG_EFIEENIK,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,92.6,incomplete,Verrucomicrobiota
4,BATS_SAMN07137064_METAG_GCBKOPLF,0,1,0,0,0,1,0,0,0,0.25,0.25,0.5,0.25,0.5,0.25,0,0,0.5,91.35,incomplete,Bacteroidota
5,BATS_SAMN07137064_METAG_HKFEGBEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.84,auxotroph,Bacteroidota
6,BATS_SAMN07137065_METAG_FEGJLPHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.57,auxotroph,Actinobacteriota
7,BATS_SAMN07137065_METAG_FGHAKEJN,0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,85.6,incomplete,Archaea-Nitrosopumilaceae
8,BATS_SAMN07137065_METAG_FHDKGKFO,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,88.32,incomplete,Cyano-Pro
9,BATS_SAMN07137066_METAG_OIGJKEJM,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,78.94,incomplete,Archaea-Nitrosopumilaceae
10,BATS_SAMN07137067_METAG_PDCABCCM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.26,auxotroph,Alpha-Pelagibacter
11,BATS_SAMN07137068_METAG_ALGCOOLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.34,auxotroph,Chloroflexota
