"","Genome","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Subpathway1","Subpathway2","Subpathway3","Subpathway4","Subpathway5","Subpathway6","Subpathway7","Subpathway8","MaxCompletion","taxa_elm","Mean Completeness","Lifestyle"
"1","BATS_SAMN07137064_METAG_BDCGNAHA",0,1,0,0,0,1,0,0,0,0.25,0.25,0.5,0.25,0.5,0.25,0,0,0.5,"Bacteroidota",78.91,"incomplete"
"2","BATS_SAMN07137064_METAG_DMDDONGP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gamma-SAR86",77.98,"auxotroph"
"3","BATS_SAMN07137064_METAG_EFIEENIK",0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,"Verrucomicrobiota",92.6,"incomplete"
"4","BATS_SAMN07137064_METAG_GCBKOPLF",0,1,0,0,0,1,0,0,0,0.25,0.25,0.5,0.25,0.5,0.25,0,0,0.5,"Bacteroidota",91.35,"incomplete"
"5","BATS_SAMN07137064_METAG_HKFEGBEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteroidota",85.84,"auxotroph"
"6","BATS_SAMN07137065_METAG_FEGJLPHI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinobacteriota",78.57,"auxotroph"
"7","BATS_SAMN07137065_METAG_FGHAKEJN",0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,"Archaea-Nitrosopumilaceae",85.6,"incomplete"
"8","BATS_SAMN07137065_METAG_FHDKGKFO",0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,"Cyano-Pro",88.32,"incomplete"
"9","BATS_SAMN07137066_METAG_OIGJKEJM",0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,"Archaea-Nitrosopumilaceae",78.94,"incomplete"
"10","BATS_SAMN07137067_METAG_PDCABCCM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpha-Pelagibacter",76.26,"auxotroph"
"11","BATS_SAMN07137068_METAG_ALGCOOLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chloroflexota",82.34,"auxotroph"
"12","BATS_SAMN07137069_METAG_DGGBNFID",0,0,0,0,0,0,0,1,0,0.25,0,0.25,0.25,0,0,0,0,0.25,"Archaea-Poseidoniia MGIIb",83.74,"incomplete"
"13","BATS_SAMN07137069_METAG_NOFBKALA",0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.25,0.5,0.5,0.333333333333333,0.333333333333333,0.5,"Archaea-Nitrosopumilaceae",88.7,"incomplete"
"14","BATS_SAMN07137069_METAG_NPIBKNEE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chloroflexota",80.37,"auxotroph"
