"","Group","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Subpathway1","Subpathway2","Subpathway3","Subpathway4","Subpathway5","Subpathway6","Subpathway7","Subpathway8","MaxCompletion","Completion","Step1_All_by_Group_Total","Step2_All_by_Group_Total","Step3_All_by_Group_Total","Step4_All_by_Group_Total","Step5_All_by_Group_Total","Step6_All_by_Group_Total","Step7_All_by_Group_Total","Step8_All_by_Group_Total","Step9_All_by_Group_Total","Subpathway1_All_by_Group_Total","Subpathway2_All_by_Group_Total","Subpathway3_All_by_Group_Total","Subpathway4_All_by_Group_Total","Subpathway5_All_by_Group_Total","Subpathway6_All_by_Group_Total","Subpathway7_All_by_Group_Total","Subpathway8_All_by_Group_Total"
"1","Acidobacteriota",13,0,13,13,0,0,0,0,0,6.5,6.5,0,3.25,0,3.25,4.333333329,4.333333329,6.5,1127.11,2,0,2,2,0,0,0,0,0,1,1,0,0.5,0,0.5,0.666666666,0.666666666
"2","Actinobacteriota",140,179,5,140,52,14,0,2,14,74,77,61.75,18.25,64.75,21.25,51.333333282,6.333333328,97.5,16947.7,1.43589743589744,1.83589743589744,0.0512820512820513,1.43589743589744,0.533333333333333,0.143589743589744,0,0.0205128205128205,0.143589743589744,0.758974358974359,0.78974358974359,0.633333333333333,0.187179487179487,0.664102564102564,0.217948717948718,0.526495725969231,0.0649572649025641
"3","Alpha-Other",79,312,43,79,286,61,0,58,39,69.25,64.5,179.25,112,174.5,107.25,39.333333294,27.333333311,185.5,32502.38,0.425876010781671,1.68194070080863,0.231805929919137,0.425876010781671,1.54177897574124,0.328840970350404,0,0.31266846361186,0.210242587601078,0.373315363881402,0.347708894878706,0.966307277628032,0.60377358490566,0.940700808625337,0.578167115902965,0.21203953258221,0.147349505719677
"4","Alpha-Pelagibacter",0,0,0,0,0,1,0,1,0,0.5,0.25,0.5,0.5,0.25,0.25,0,0,0.5,78.21,0,0,0,0,0,2,0,2,0,1,0.5,1,1,0.5,0.5,0,0
"5","Alpha-Puniceispirilla",0,5,0,0,5,0,0,2,1,0.5,0.25,3,1.75,2.75,1.5,0.333333333,0.333333333,3,545.5,0,1.66666666666667,0,0,1.66666666666667,0,0,0.666666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,1,0.583333333333333,0.916666666666667,0.5,0.111111111,0.111111111
"6","Alpha-Rhodobacter",57,6,61,57,8,44,0,42,20,50,44.5,25,38.75,19.5,33.25,25.666666641,26.999999973,54.5,9565.03,1.04587155963303,0.110091743119266,1.11926605504587,1.04587155963303,0.146788990825688,0.807339449541284,0,0.770642201834862,0.36697247706422,0.917431192660551,0.81651376146789,0.458715596330275,0.711009174311927,0.357798165137615,0.610091743119266,0.470948011761468,0.495412843541284
"7","Alpha-Rhodobacter-LowGC",93,10,90,93,10,0,0,0,0,46.5,46.5,5,25,5,25,30.999999969,29.99999997,50,8436.28,1.86,0.2,1.8,1.86,0.2,0,0,0,0,0.93,0.93,0.1,0.5,0.1,0.5,0.61999999938,0.5999999994
"8","Archaea-Nitrosopumilaceae",0,0,52,0,0,91,0,0,61,22.75,38,22.75,35.75,38,51,20.333333313,37.66666664,51,8654.13,0,0,1.01960784313725,0,0,1.7843137254902,0,0,1.19607843137255,0.446078431372549,0.745098039215686,0.446078431372549,0.700980392156863,0.745098039215686,1,0.398692810058824,0.738562090980392
"9","Archaea-Other",0,3,14,0,0,18,0,3,2,5.25,5,6,8.75,5.75,8.5,0.666666666,5.33333333,10,1852.66,0,0.3,1.4,0,0,1.8,0,0.3,0.2,0.525,0.5,0.6,0.875,0.575,0.85,0.0666666666,0.533333333
"10","Archaea-Poseidoniia MGIIa",0,5,0,0,3,0,0,4,0,1,0,3,1.75,2,0.75,0,0,3,480.75,0,1.66666666666667,0,0,1,0,0,1.33333333333333,0,0.333333333333333,0,1,0.583333333333333,0.666666666666667,0.25,0,0
